address,area,icon,id,image_url,is_private,lat,lon,meta,name,offentlig_avtale,phone_number,region_type,same_location_as,slug,strengths,type,updated_at
"Alexander Kjellands gate 11, 2000 Lillestrøm","Follo, Romerike, Kongsvinger, Grue, Nord-Odal, Sør-Odal + Eidsskog i Innlandet + Rømskog kommune i Østfolk + bydelene Alna, Grorud og Stovner i Oslo.",accel,98c9d27f-f821-4329-b230-04ce1a768b7d,,False,59.958206448037394,11.049439951057286,,"Akershus universitetssykehus, ARA Klosteret døgn",,64 84 33 00,4,,akershus-universitetssykehus-ara-klosteret-dogn,"Seksjon har medisinsk avrusning, så liggetiden er kort.",0,2 år siden
"Haugane 8, 5307 Ask",,accel,98c9d27d-1e16-4b2a-8aea-3cbc99751d4b,,False,60.46394176019173,5.215066655488,,"Helse Bergen, AFR døgnavdeling Askøy",,56155103,3,Langtidsbehandling,helse-bergen-afr-seksjon-askoy,Seksjonen har en tverrfaglig kompetansesammensetning med fokus på behandling og utredning. Seksjonen består av en langtidspost for menn fordelt på to etasjer.,0,3 måneder siden
"Henrik Wergelands gate 9, 3675 Notodden","Notodden, Hjartdal, Kviteseid, Tinn, Vinje, Tokke, Seljord, Midt-Telemark, Fyresdal",accel,98c9d283-f2e9-43fb-a5e1-72dfb98904b6,,False,59.566685129805954,9.262880104195657,,"Sykehuset Telemark, Seksjon poliklinikk TSB, Notodden",,35 02 14 00,4,"DPS øvre Telemark, poliklinikk og døgn Notodden",sykehuset-telemark-seksjon-poliklinikk-tsb-notodden,Har LAR og TSB i teamet. Ambulant oppfølging tilbys.,0,1 år siden
"Kirkeveien 206A, 1383 Asker",Asker kommune,accel,98c9d28e-0c1c-4f61-8ded-67d4066f742e,,False,59.83725892509063,10.433504877309124,,"Vestre Viken, Asker DPS, vurderingsteam",,67 50 20 00,4,,vestre-viken-asker-dps-vurderingsteam,,1,2 år siden
"Rosenbergveien 15, 0963 Oslo",,accel,98c9d28d-b3ca-4007-9ae7-0aa5643c9f7b,,False,59.960170604490095,10.878808438732621,,"Akershus universitetssykehus, ARA Groruddalen poliklinikk vurderingsteam",,22 16 83 40,4,ARA Groruddalen poliklinikk,akershus-universitetssykehus-ara-groruddalen-poliklinikk-vurderingsteam,,1,2 år siden
"Kirkeveien 166, Bygg 21, 0450 Oslo","Rus- og avhengighetspoliklinikk Nydalen har inntak fra bydelene Bjerke, Sagene og Nordre Aker.",accel,98c9d280-d233-49ef-9f9c-6fcf230c7bdc,,False,59.934678400666556,10.729892919455075,,"Oslo universitetssykehus, ARA Seksjon rus- og avhengighetspoliklinikk Enhet 4 Ullevål",,22 11 84 10,4,,oslo-universitetssykehus-ara-seksjon-rus-og-avhengighetspoliklinikk-enhet-4-ulleval,"Poliklinikkene har et robust, variert og kompetent fagmiljø med spesialutdannede medarbeidere. Alle de kliniske enhetene gir tilbud om tverrfaglig utredning, skadereduksjon og behandling til personer over 15 år med rus- og avhengighetsproblematikk og pårørende. Poliklinikken tilbyr også behandling til personer med problematisk bruk av anabole androgene steroider, spill og annet. Det tilbys en rekke behandlingstilnærminger som Motiverende intervju, Eye Movement Desensitisation and Reprocessing (EMDR), kognitiv terapi, familieterapi, dialektisk adferdsterapi og mindfulness. Poliklinikken tilbyr til enhver tid et stort og variert gruppebehandlingstilbud. I hovedsak foregår oppfølgningen i poliklinikken sine lokaler, men det er også mulighet for å møtes utenfor poliklinikken eller digitalt. Poliklinikken har et arenafleksibelt team kan bistå i særlig krevende perioder. Et av satsningsområdene er sosialfaglig behandling og det er knyttet dedikerte klinikere til dette. Det tilbys behandling med substitusjonslegemidler i poliklinikker for legemiddelassistert rehabilitering (LAR) og heroinassistert behandling (HABiO). Den medisinske behandlingen er en del av en helhetlig oppfølgning med tilgang til det samme behandlingstilbudet som gis i øvrige enheter.",0,10 måneder siden
"Maridalsveien 176A, 0469 Oslo",Helse Sør-Øst,accel,98c9d289-0534-44a4-b271-feb1a05d1fe1,,True,59.93910718453618,10.758451368685124,,"Kirkens Bymisjon A-senteret, Døgnavdeling",,23 26 50 00,4,Poliklinikk,kirkens-bymisjon-a-senteret-dognavdeling,"Døgnavdelingens styrke er individuelt tilpassede behandlingsløp med fokus på å kartlegge og behandle. Vi befinner oss midt i byen, med det det innebærer av muligheter for eksponering, og å arbeide med endring samtidig som en kan leve livet sitt, og integrerer en ny hverdag.",0,1 år siden
"Kirkebrygga 2-4, 1607 Fredrikstad",Hvaler og Fredrikstad,accel,98c9d284-4af6-4042-bba1-ec79d2a744fa,,False,59.20856137205119,10.93361317273001,,"Sykehuset Østfold, ARA Poliklinikk Fredrikstad",,69 86 92 70,4,,sykehuset-ostfold-ara-poliklinikk-fredrikstad,Poliklinikk for rus- og avhengighetsbehandling skal gi tilbud til: - personer med rusproblemer eller avhengighet til rusmidler/vanedannende stoffer - foreldre/barn/søsken/ektefelle/partner til personer med rusmiddelmisbruk - personer med spilleavhengighet - veiledning til samarbeidspartnere som kommunale instanser eller andre Vi har et stort fokus på bred kartlegging i oppstartsfasen og fortsatt tverrfaglighet gjennom hele behandlingsløp. Alle nyhenviste får tilbud om kartlegging og vi har en visjon om null avslag.,0,1 år siden
"Kirkeveien 166, Bygg 21, 0450 Oslo","Oslo (med unntak av bydelene Stovner, Alna og Grorud)",accel,98c9d280-8fde-49a8-97db-a10230234175,,False,59.940995312047995,10.73609348512135,,"Oslo universitetssykehus, ARA Seksjon voksen",,23 02 08 00,4,"Lokalisert på Ullevål sykehusområde, der også seksjon rus- og avhengighetspoliklinikker har store deler av sitt behandlingstilbud.",oslo-universitetssykehus-ara-seksjon-voksen,"Avdeling rus- og avhengighetsbehandling har et helhetlig tilbud og dekker alle basistjenester, inkludert akutt, poliklinikk, ambulante tjenester, avrusning og døgnbehandling. Det er i avdelingen også eget pårørendetilbud for de som er berørt av rus og avhengighet. Vi har et nært samarbeid med behandlingstilbud i somatikk og psykisk helsevern i eget sykehus. Vi tilbyr utrednings-, behandlings- og innleggelse. Behandlingstid tilpasses den enkelte og er inntil 6mnd. Vi tilbyr også kortere innleggelser i serie og stabiliseringsopphold etter en periode i poliklinisk behandling. Alle pasienter har et tverrfaglig behandlingsteam bestående av psykolog, lege, sosionom og miljøkontakt (sykepleier/vernepleier). Innad i team gjennomføres tverrfaglig utredning av psykiske og somatiske lidelser, oppfølging av sosialfaglige mål (aktiviteter, bolig, nettverk økonomi) og miljøterapeutisk kartlegging og oppfølging. Dagene har en fast ukestruktur bestående av gruppeterapi, individualterapi, miljøterapi, medisinsk behandling, tverrfaglig traumebehandling, psykoedukasjon og undervisning, og fysisk aktivitet. Samtalegruppene består av introgruppe med fokus på å sosialisere pasienten inn i behandling, mestringsgruppe med fokus på rusmestring, temagruppe med fokus på ulike gjentagende tema og kunstterapi med fokus på pasientenes positive ressurser ved bruk av ulike medier. All behandling er individuelt tilpasset, det tilbys stabiliseringsopphold til pasienter med behov for stabiliserende tiltak i døgn etter fullført opphold. All utredning og behandling er i pasientforløp TSB.",0,8 måneder siden
"C.J. Hansens vei 1A, 2007 Kjeller","Lillestrøm, Rælingen, Aurskog-Høland, Enebakk og Lørenskog",accel,98c9d280-1cc6-48dc-aab5-10160159ef98,,False,59.96435688017393,11.063231334485451,,"Akershus universitetssykehus, ARA Nedre Romerike poliklinikk",,63 89 40 20,4,,akershus-universitetssykehus-ara-nedre-romerike-poliklinikk,Innarbeidet systematisk arbeid rundt oppstart nasjonalt pasientforløp TSB.,0,2 år siden
