AntallPaVenteliste,AntallPlasser,Avtaledato,Delelistelege,ErSio,Fastlege,Fellesliste,Fradato,Id,LedigePlasser,Oppstartsarsak,Valgbar,VentelisteTilgjengelig,auth_year,birth_year,gender,icon,lat,lon,offentlig_avtale
0,900,2022-09-01T00:00:00,,False,,False,0001-01-01T00:00:00,100003715,0,,False,True,,,,filter,58.47737435183384,8.810399953318017,
11,1140,2022-09-01T00:00:00,,False,,False,0001-01-01T00:00:00,100003716,0,,False,True,,,,filter,58.47308231407523,8.82022904242594,
0,1200,2014-11-01T00:00:00,,False,,False,0001-01-01T00:00:00,5168,12,,True,False,,,,filter,58.462307753664646,8.773848331292234,
40,1000,2001-05-01T00:00:00,,False,,False,0001-01-01T00:00:00,5132,0,,False,True,,,,filter,58.453060427276164,8.763950588216938,
15,400,2022-11-01T00:00:00,,False,,False,0001-01-01T00:00:00,100004062,0,,False,True,,,,filter,58.452134226543635,8.743322884597518,
0,350,2025-04-01T00:00:00,,False,,False,0001-01-01T00:00:00,100006344,287,,True,False,,,,filter,58.46629180640009,8.758048250974035,
129,1200,2006-09-01T00:00:00,,False,,False,0001-01-01T00:00:00,5172,0,,False,True,,,,filter,58.47179427849755,8.791306406796474,
61,950,2001-05-01T00:00:00,,False,,False,0001-01-01T00:00:00,5162,0,,False,True,,,,filter,58.45218822447911,8.746229203308719,
88,950,2018-04-01T00:00:00,,False,,False,0001-01-01T00:00:00,100000987,0,,False,True,,,,filter,58.44039454755475,8.699944501643575,
0,1200,2016-05-01T00:00:00,,False,,False,0001-01-01T00:00:00,5165,22,,True,False,,,,filter,58.41159653476962,8.705075144014913,
41,1000,2007-04-01T00:00:00,,False,,False,0001-01-01T00:00:00,5175,0,,False,True,,,,filter,58.450259334523246,8.760844321621917,
46,800,2024-01-01T00:00:00,,False,,False,0001-01-01T00:00:00,100005097,0,,False,True,,,,filter,58.44130854476135,8.708351538548412,
0,750,2020-03-01T00:00:00,,False,,False,0001-01-01T00:00:00,100002129,142,,True,False,,,,filter,58.453811699148545,8.74058342770297,
