icon,lat,lon,offentlig_avtale,tooltip
pin,59.19389665458747,9.59217824114525,,Sykehus: Skien
pin,59.823587826996864,10.471130086452115,,Sykehus: Blakstad
pin,59.9338977465597,10.992181144685713,,Sykehus: Ahus
pin,59.94162439129961,10.720341277290006,,Sykehus: Diakonhjemmet
pin,59.93661256545661,10.741684426450295,,Sykehus: Ullevål
pin,59.93042685698918,10.749764052065212,,Sykehus: Lovisenberg
pin,59.321765398341896,11.030711218681093,,Sykehus: Kalnes
pin,59.274576472120856,10.413096282455218,,Sykehus: Tønsberg
pin,60.681094715027285,10.638127475259326,,Sykehus: Reinsvoll
pin,60.78115894789068,11.16294724222231,,Sykehus: Hamar
pin,60.77865809185446,11.158103207719034,,Sykehus: Sannerud
pin,58.161280430534795,7.991852787091946,,Sykehus: Kristiansand
pin,58.465326640412634,8.756159064570165,,Sykehus: Arendal
pin,59.40515225552312,5.278683499414602,,Sykehus: Haugesund
pin,59.82642810363051,5.784544855009938,,Sykehus: Valen
pin,58.95454928044897,5.730176688685212,,Sykehus: Stavanger
pin,58.73189264194618,5.641718547266525,,Sykehus: NKS Jæren DPS
pin,60.421581933665614,5.3133793833918475,,Sykehus: Sandviken
pin,61.45525129161413,5.88521650121836,,Sykehus: Førde
pin,62.46341935331928,6.313231759490097,,Sykehus: Ålesund
pin,62.783854950627436,7.514110815042532,,Sykehus: Molde
pin,64.4701822327625,11.506946236663495,,Sykehus: Namsos
pin,63.45669205086189,10.446960338257098,,Sykehus: St. Olavs
pin,63.74316781837573,11.284595443409211,,Sykehus: Levanger
pin,69.65578983121826,18.90719136656559,,Sykehus: Tromsø
pin,67.28553526138043,14.427620100550596,,Sykehus: Bodø
pin,68.11894742461776,13.53069396987286,,Sykehus: Gravdal
pin,68.55939957027961,14.921288125676924,,Sykehus: Storkmarknes
