address,icon,lat,lon,name,offentlig_avtale,source_url
"Fyrg. 3, Postboks 245, 7703 Steinkjer",delete-alt,64.01246650561855,11.492002519342206,Vitusapotek Medisinsk Senter - Steinkjer,,https://www.felleskatalogen.no/medisin/apotek/Steinkjer/vitusapotek-medisinsk-senter-steinkjer-steinkjer
"Melhusv. 474, 7224 Melhus",delete-alt,63.286663837778825,10.284215150365206,Vitusapotek Melhustorget,,https://www.felleskatalogen.no/medisin/apotek/Melhus/vitusapotek-melhustorget-melhus
"Rabekkg. 2 b, 1523 Moss",delete-alt,59.41941155785883,10.682964607404394,Vitusapotek Melløs,,https://www.felleskatalogen.no/medisin/apotek/Moss/vitusapotek-melloes-moss
"Chr. Tidemanns v. 1, Postboks 83, 8151 Ørnes",delete-alt,66.86828531005672,13.704843121971006,Vitusapotek Meløy,,https://www.felleskatalogen.no/medisin/apotek/OErnes/vitusapotek-meloey-oernes
"Fridtjof Nansensg. 21, 8622 Mo i Rana",delete-alt,66.31406987468341,14.139588846244123,Vitusapotek Meyer,,https://www.felleskatalogen.no/medisin/apotek/Mo_i_Rana/vitusapotek-meyer-mo-i-rana
"Fageråsv. 2, 5067 Bergen",delete-alt,60.36181165997372,5.346005728405034,Vitusapotek Minde,,https://www.felleskatalogen.no/medisin/apotek/Bergen/vitusapotek-minde-bergen
"Terminalv. 5, 8624 Mo i Rana",delete-alt,66.3101536114406,14.128406023212545,Vitusapotek Mo i Rana Byporten,,https://www.felleskatalogen.no/medisin/apotek/Mo_i_Rana/vitusapotek-mo-i-rana-byporten-mo-i-rana
"Moav. 1, 6018 Ålesund",delete-alt,62.46608591768275,6.343699795897651,Vitusapotek Moa Nord,,https://www.felleskatalogen.no/medisin/apotek/AAlesund/vitusapotek-moa-nord-aalesund
"Langelandsv. 25, 6010 Ålesund",delete-alt,62.465723977056136,6.3524022865893075,Vitusapotek Moa Syd,,https://www.felleskatalogen.no/medisin/apotek/AAlesund/vitusapotek-moa-syd-aalesund
"Storg. 109, 2390 Moelv",delete-alt,60.92820248181141,10.696936539102493,Vitusapotek Moelv,,https://www.felleskatalogen.no/medisin/apotek/Moelv/vitusapotek-moelv-moelv
"Molde Storsenter, Birger Hatlebakksv. 1, 3, 5, 6415 Molde",delete-alt,62.7341327253665,7.181739151906309,Vitusapotek Molde Storsenter,,https://www.felleskatalogen.no/medisin/apotek/Molde/vitusapotek-molde-storsenter-molde
"Morenen Kjøpesenter, Morstongv. 47, 1859 Slitu",delete-alt,59.5750274158174,11.281321997367817,Vitusapotek Morenen,,https://www.felleskatalogen.no/medisin/apotek/Slitu/vitusapotek-morenen-slitu
"Senter Syd, Lofsrudv. 6, 1281 Oslo",delete-alt,59.85017407189471,10.83030439435547,Vitusapotek Mortensrud,,https://www.felleskatalogen.no/medisin/apotek/Oslo/vitusapotek-mortensrud-mortensrud
"Oslov. 37, 1534 Moss",delete-alt,59.4448345215506,10.687011348852417,Vitusapotek Mosseskogen,,https://www.felleskatalogen.no/medisin/apotek/Moss/vitusapotek-mosseskogen-moss
"Smedg. 30/32, 1850 Mysen",delete-alt,59.556167526905206,11.32638218297093,Vitusapotek Mysen,,https://www.felleskatalogen.no/medisin/apotek/Mysen/vitusapotek-mysen-mysen
"Måløy Brygge, Postboks 224, 6701 Måløy",delete-alt,61.93692252821445,5.107433306382446,Vitusapotek Måløy,,https://www.felleskatalogen.no/medisin/apotek/MaAloEy/vitusapotek-maaloey-maaloey
"Stortingsg. 30, 0161 Oslo",delete-alt,59.91815353055201,10.736555958624317,Vitusapotek Nationaltheatret,,https://www.felleskatalogen.no/medisin/apotek/Oslo/vitusapotek-nationaltheatret-sentrum
"Nerstranda 9, 9008 Tromsø",delete-alt,69.64692815691383,18.951030002354006,Vitusapotek Nerstranda,,https://www.felleskatalogen.no/medisin/apotek/TromsoE/vitusapotek-nerstranda-tromsoe
"Holmquistv. 1, Postboks 257, 1379 Nesbru",delete-alt,59.86365090819973,10.492908461595576,Vitusapotek Nesbru,,https://www.felleskatalogen.no/medisin/apotek/Asker/vitusapotek-nesbru-asker
